Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.029123,-0.033706,0.005,0,0,0,0.029196,2.633E-05,-2.4057E-05,1.1298E-21,5.0719E-05,9.4342E-23,7.6562E-05,0,0,0,0,0,0,package://simple_arm/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://simple_arm/meshes/base_link.STL,,零件1-1,base_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
yaw_Link,6.261E-09,0.012156,0.053426,0,0,0,0.35416,0.00052105,5.0927E-11,-7.5303E-12,0.00043693,4.6383E-07,0.00024205,0,0,0,0,0,0,package://simple_arm/meshes/yaw_Link.STL,1,1,1,1,0,0,0,0,0,0,package://simple_arm/meshes/yaw_Link.STL,,零件390-1,yaw_frame,yaw,yaw_link,revolute,0,0,0.01,0,0,0,base_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
P1_Link,0.18397,0,0.056283,0,0,0,0.68023,0.00023225,6.1316E-19,0.00042211,0.0087926,-3.659E-20,0.0088447,0,0,0,0,0,0,package://simple_arm/meshes/P1_Link.STL,1,1,1,1,0,0,0,0,0,0,package://simple_arm/meshes/P1_Link.STL,,零件392-1,p1_frame,pitch_1,p1_link,revolute,0,0,0.091,1.5751,-0.087162,3.0926,yaw_Link,0.048837,0,0.99881,0,0,0,2,,,,,,,,
P2_Link,0.093579,0,6.9389E-18,0,0,0,0.61758,0.00031766,8.8091E-20,-7.147E-20,0.0023843,-1.4344E-20,0.002331,0,0,0,0,0,0,package://simple_arm/meshes/P2_Link.STL,1,1,1,1,0,0,0,0,0,0,package://simple_arm/meshes/P2_Link.STL,,零件394-1,p2_frame,pitch_2,p2_link,revolute,0.36243,0,0,0.0084903,-0.048113,2.9669,P1_Link,0,0,1,0,0,-2,0,,,,,,,,
Roll_Link,-0.0042914,1.4286E-05,0.13539,0,0,0,0.27489,0.0018909,1.3975E-07,0.0001294,0.0019259,-4.3042E-07,8.0038E-05,0,0,0,0,0,0,package://simple_arm/meshes/Roll_Link.STL,1,1,1,1,0,0,0,0,0,0,package://simple_arm/meshes/Roll_Link.STL,,零件395-1,roll_frame,roll,roll_link,revolute,0.194,0,0,-1.5708,0,-1.5708,P2_Link,0,0,1,0,0,-1.57,1.57,,,,,,,,
Minip_Link,0.025369,2.7756E-17,-6.9389E-18,0,0,0,0.02542,8.1208E-06,8.9997E-22,-2.9573E-21,7.4031E-06,-4.8817E-23,5.8203E-06,0,0,0,0,0,0,package://simple_arm/meshes/Minip_Link.STL,1,1,1,1,0,0,0,0,0,0,package://simple_arm/meshes/Minip_Link.STL,,零件396-1,minip_frame,mini_pitch,minip_link,revolute,-0.042,0,0.245,1.5708,-1.5708,0,Roll_Link,0,0,-1,0,0,0,2,,,,,,,,
Minir_Link,-1.3878E-17,1.3878E-17,0.040916,0,0,0,0.061635,3.436E-05,2.978E-22,-4.2881E-21,3.4758E-05,-2.1346E-21,1.0943E-05,0,0,0,0,0,0,package://simple_arm/meshes/Minir_Link.STL,1,1,1,1,0,0,0,0,0,0,package://simple_arm/meshes/Minir_Link.STL,,零件397-1,minir_frame,mini_roll,minir_link,revolute,0.035,0,0,1.5708,0,1.5708,Minip_Link,0,0,-1,0,0,0,6.28,,,,,,,,
